created_at,full_text,source,lang
Tue Nov 16 15:21:41 +0000 2021,".@cristianoamon is talking about attached wearables and category leading devices in new segments, including @Amazon quote praising @Qualcomm #IoT consumer https://t.co/OTe0cmkTUn","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:21:23 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:21:13 +0000 2021,"RT @YtNextGenGaming: “ We have to push companies like @Target and @amazon to get products on the hands of consumers “ 

Thanks @KWCH12 and…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:21:01 +0000 2021,It's wild that @amazon has to spend its advertising money on convincing people it's worth it to work for them.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:20:41 +0000 2021,RT @GoodAdvicePub: How much do #Amazon &amp; other leading #tech #companies make per minute - the answer is #amazing! See: https://t.co/uL6T8CG…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:20:25 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:20:17 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:20:12 +0000 2021,@amazon @AmazonAE @JeffBezos  is Amazon going broke return item 5 days ago refund not issued customer support they said they get the wrong return help,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:19:54 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:19:36 +0000 2021,"RT @VKD_Vijay_Kr: @amazonIN 
@AmazonHelp 
@amazon 
Dear Team
Could you please clarify &amp; elaborate for misconduct specified in trailing mail…","<a href=""https://vchima.com"" rel=""nofollow"">test-shield-bot</a>",en
Tue Nov 16 15:19:28 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:19:22 +0000 2021,"@amazon @AmazonHelp My recruiter Matt Carey and interviewer Raina Turner, found out that I am a permanently and totally disabled vet and I was turned down for the position. And the recruiter won't respond now. I feel like this is not acceptable.","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:19:06 +0000 2021,@amazon Accept shiba inu coin for purchasing,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:19:02 +0000 2021,RT @amazon: ❤️ for a reminder to shop Black Friday &amp; Cyber Monday #EpicDealsAmazon,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:18:56 +0000 2021,@karldeeter @amazon @Tesla And no it does not matter! Just hang in there and get ready go press the sell button!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:18:43 +0000 2021,RT @ShibaInuHodler: Buy #Shib before @Amazon announces it.🛒,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:18:40 +0000 2021,"@amazon YOU MUST SHARE YOURSELF ALSO, DAILY, WITH WHAT YOUR INVOLVED WITH","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:18:38 +0000 2021,"RT @BitPay: Use #crypto on @amazon to buy everything! It's easy: 
https://t.co/C6F3xrPDVT #BTC #DOGE #Litecoin #ETH https://t.co/lrUOqXCHoj","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:18:37 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",en
Tue Nov 16 15:18:32 +0000 2021,"@AmazonAE @amazon @JeffBezos item returned refund not issued customer support contacted many times, failed to get the right infos can’t receive my money because item shows not collected who’s fault? Help","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",en
Tue Nov 16 15:18:21 +0000 2021,RT @OfficialTeslaAI: Retweet If U Want @amazon To Accept $Doge!!✅,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
Tue Nov 16 15:18:02 +0000 2021,RT @Kaushalshaz: @BitPay @Tatianita75020 @amazon When $SHIB,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",en
